Kigezruk Creek|stream|SRID=4269;POINT(-167.74056 65.50889)
Woodpecker Prospect|prospect|SRID=4267;POINT(-147.497 64.965)
Woods Prospect|prospect|SRID=4267;POINT(-147.581 65.036)
Alpha Prospect|prospect|SRID=4267;POINT(-147.581 65.036)
Omega Prospect|prospect|SRID=4267;POINT(-147.581 65.036)
Worcester Prospect|prospect|SRID=4267;POINT(-165.132 65.615)
Wortmanns Prospect|prospect|SRID=4267;POINT(-145.8653 61.1042)
Wyoming  Lode Prospect|prospect|SRID=4267;POINT(-155.933 63.574)
Wyrick Prospect|prospect|SRID=4267;POINT(-156.98114 62.3552)
Yakima Prospect|prospect|SRID=4267;POINT(-134.3789 58.2548)
Yakima Prospect|prospect|SRID=4267;POINT(-148.3122 60.9627)
Yakima Ledge Prospect|prospect|SRID=4267;POINT(-148.3122 60.9627)
Yanert River Prospect|prospect|SRID=4267;POINT(-148.69 63.67)
Yankee Boy Prospect|prospect|SRID=4267;POINT(-135.0017 58.829)
Yankee Prospect|prospect|SRID=4267;POINT(-135.0017 58.829)
Yankee Girl Prospect|prospect|SRID=4267;POINT(-167.131 65.461)
Yates Prospect|prospect|SRID=4267;POINT(-133.3049 57.59594)
Yellow Jacket Prospect|prospect|SRID=4267;POINT(-133.30265 57.59039)
Yellow Jacket Prospect|prospect|SRID=4267;POINT(-149.631 60.5336)
Yellowhorn Prospect|prospect|SRID=4267;POINT(-147.288 63.197)
Yellowstone Prospect|prospect|SRID=4267;POINT(-133.16951 55.08888)
Young Prospect|prospect|SRID=4267;POINT(-136.094 57.6633)
Yousure Prospect|prospect|SRID=4267;POINT(-158.4129 62.21915)
Yushur Prospect|prospect|SRID=4267;POINT(-158.4129 62.21915)
Yukon Prospect|prospect|SRID=4267;POINT(-146.9284 63.169)
Mendeltna Prospect|prospect|SRID=4267;POINT(-146.9284 63.169)
Zackly Prospect|prospect|SRID=4267;POINT(-146.6984 63.2181)
Zelda Prospect|prospect|SRID=4267;POINT(-134.3264 58.2418)
Zengar Prospect|prospect|SRID=4267;POINT(-134.811 58.2654)
Zimmerman (near Skoogy Gulch) Prospect|prospect|SRID=4267;POINT(-147.453 65.032)
Zimmerman (near junction of Twin and Pedro Creeks) Prospect|prospect|SRID=4267;POINT(-147.471 65.019)
Zincabou Prospect|prospect|SRID=4267;POINT(-154.856 65.0035)
Portage Creek Mine|mine|SRID=4267;POINT(-154.039 60.363)
Portland Mine|mine|SRID=4267;POINT(-132.02016 55.66333)
Helm Bay King Mine|mine|SRID=4267;POINT(-132.02016 55.66333)
Potosi Creek Mine|mine|SRID=4267;POINT(-156.5117 62.97594)
Powers Creek Mine|mine|SRID=4267;POINT(-133.51207 57.76466)
Present (First) Beach Mine|mine|SRID=4267;POINT(-165.4262 64.4999)
Prince Creek Mine|mine|SRID=4267;POINT(-157.91155 62.3554)
Problem Creek (Gulch) Mine|mine|SRID=4267;POINT(-164.465 64.646)
Prospect Creek Mine|mine|SRID=4267;POINT(-150.5119 66.793)
Prospect Creek Mine|mine|SRID=4267;POINT(-165.4516 64.6305)
Purdy Mine|mine|SRID=4267;POINT(-141.9475 64.116)
Hope Mine|mine|SRID=4267;POINT(-132.69961 55.49743)
Ready Bullion Mine|mine|SRID=4267;POINT(-132.69961 55.49743)
Lucky Jack Mine|mine|SRID=4267;POINT(-132.69961 55.49743)
Puzzle Creek (Gulch) Mine|mine|SRID=4267;POINT(-164.445 64.647)
Pyramid Peak Mine|mine|SRID=4267;POINT(-166.54 53.8583)
Quail Creek Mine|mine|SRID=4267;POINT(-149.75 65.361)
Quail Creek (between Green Gulch and Eldorado Creek) Mine|mine|SRID=4267;POINT(-149.846 65.363)
Quartz Creek Mine|mine|SRID=4267;POINT(-144.7522 63.1515)
Quartz Creek Mine|mine|SRID=4267;POINT(-150.3004 67.2462)
Quartz Creek Mine|mine|SRID=4267;POINT(-164.304 64.887)
Quartz Creek Mine|mine|SRID=4267;POINT(-145.4039 61.4967)
Quartz Creek Mine|mine|SRID=4267;POINT(-149.6141 60.545)
Quartz Creek Mine|mine|SRID=4267;POINT(-164.704 65.361)
Quartz Creek (headwaters) Mine|mine|SRID=4267;POINT(-166.0139 64.6011)
Quartz Creek (lower) Mine|mine|SRID=4267;POINT(-166.016 64.574)
Quartz Creek (tributary to lower Solomon River) Mine|mine|SRID=4267;POINT(-164.328 64.646)
Quartz Creek Mine|mine|SRID=4267;POINT(-150.88404 65.12084)
Homestake Bar Mine|mine|SRID=4267;POINT(-150.88404 65.12084)
Quartz Creek Mine|mine|SRID=4267;POINT(-161.33 65.51)
Jack Mine|mine|SRID=4267;POINT(-161.33 65.51)
Quartz Creek Mine|mine|SRID=4267;POINT(-166.257 65.033)
Sunset Creek Mine|mine|SRID=4267;POINT(-166.257 65.033)
Slate Creek Mine|mine|SRID=4267;POINT(-166.257 65.033)
Quartz Gulch Mine|mine|SRID=4267;POINT(-158.18166 62.08099)
Quiggley Mine|mine|SRID=4267;POINT(-164.293 64.648)
Gray Eagle Mine|mine|SRID=4267;POINT(-164.293 64.648)
RV Mine|mine|SRID=4267;POINT(-147.463 65.057)
Rabbit Creek Mine|mine|SRID=4267;POINT(-164.714 64.897)
Alaska Free Gold Mining Co. Mine|mine|SRID=4267;POINT(-149.243 61.791)
Rosenthal Mine|mine|SRID=4267;POINT(-149.243 61.791)
Rainbow Mine|mine|SRID=4267;POINT(-136.8355 58.8781)
Rainbow Mine|mine|SRID=4267;POINT(-147.464 65.033)
Rainy Creek Mine|mine|SRID=4267;POINT(-160.15 60)
Rainy Creek Mine|mine|SRID=4267;POINT(-145.8934 63.2915)
Rainy Creek Mine|mine|SRID=4267;POINT(-150.8028 63.5329)
Rambler Group Mine|mine|SRID=4267;POINT(-153.18 57.8)
Ramsey-Rutherford Mine|mine|SRID=4267;POINT(-146.1032 61.2043)
Raspberry Beach Mine|mine|SRID=4267;POINT(-153.34 58.1)
Ready Bullion Creek Mine|mine|SRID=4267;POINT(-164.592 64.863)
Ready Bullion Creek Mine|mine|SRID=4267;POINT(-148.037 64.858)
Ready Bullion Mine|mine|SRID=4267;POINT(-134.3576 58.2588)
Alaska United Gold Mining Co. (Treadwell Mines group) Mine|mine|SRID=4267;POINT(-134.3576 58.2588)
Borovich and Stevens Mine|mine|SRID=4267;POINT(-148.058 64.854)
Hudson Mine|mine|SRID=4267;POINT(-148.058 64.854)
Rebel Creek Mine|mine|SRID=4267;POINT(-145.433 65.529)
Red Devil Mine|mine|SRID=4267;POINT(-157.31375 61.75947)
Red Dog Mine|mine|SRID=4267;POINT(-162.8379 68.0704)
Hilltop Mine|mine|SRID=4267;POINT(-162.8379 68.0704)
Aqqaluk Mine|mine|SRID=4267;POINT(-162.8379 68.0704)
Paalaaq Mine|mine|SRID=4267;POINT(-162.8379 68.0704)
Red Fox Creek Mine|mine|SRID=4267;POINT(-147.4395 62.1733)
Red Top Mine|mine|SRID=4267;POINT(-158.53 59.28)
Reef Mine|mine|SRID=4267;POINT(-151.82 59.21)
Anderson Mine|mine|SRID=4267;POINT(-151.82 59.21)
Bluff Mine|mine|SRID=4267;POINT(-151.82 59.21)
Claim Point Mine|mine|SRID=4267;POINT(-151.82 59.21)
Resurrection Creek and Palmer Creek Mine|mine|SRID=4267;POINT(-149.606 60.8623)
Rex Mine|mine|SRID=4267;POINT(-134.7851 58.5764)
Rex Bench Mine|mine|SRID=4267;POINT(-143.2425 61.5241)
Rex Creek Mine|mine|SRID=4267;POINT(-148.836 64.103)
Rexall Mine|mine|SRID=4267;POINT(-147.365 65.073)
Reynolds-Alaska Development Co. Mine|mine|SRID=4267;POINT(-146.628 60.883)
Rhode Island Creek Mine|mine|SRID=4267;POINT(-150.27334 65.18337)
Richter Creek Mine|mine|SRID=4267;POINT(-163.785 64.918)
Ridge Top Mine|mine|SRID=4267;POINT(-150.4093 63.7521)
Riley Creek Mine|mine|SRID=4267;POINT(-156.897 67.039)
Ring Creek Mine|mine|SRID=4267;POINT(-166.384 65.116)
Riverview Mine|mine|SRID=4267;POINT(-130.069 56.003)
Lindeborg Mine|mine|SRID=4267;POINT(-130.069 56.003)
Rob Roy Mine|mine|SRID=4267;POINT(-147.304 65.079)
Saucy Mine|mine|SRID=4267;POINT(-147.304 65.079)
Wolf Mine|mine|SRID=4267;POINT(-147.304 65.079)
Robinson Creek Mine|mine|SRID=4267;POINT(-141.4407 64.156)
Robinson Mine|mine|SRID=4267;POINT(-147.473 65.048)
Mohawk Mine|mine|SRID=4267;POINT(-147.473 65.048)
Franklin Mine|mine|SRID=4267;POINT(-147.473 65.048)
Rose Mine|mine|SRID=4267;POINT(-147.473 65.048)
Heilig and Creighton Mine|mine|SRID=4267;POINT(-147.473 65.048)
Rock Creek Mine|mine|SRID=4267;POINT(-164.37 64.61)
Rock Creek Mine|mine|SRID=4267;POINT(-150.5298 66.9963)
Rock Creek Mine|mine|SRID=4267;POINT(-164.856 64.903)
Rock Creek Mine|mine|SRID=4267;POINT(-141.5207 64.8731)
Rock Creek (bench placer) Mine|mine|SRID=4267;POINT(-165.4227 64.6133)
Rock Creek (placer) Mine|mine|SRID=4267;POINT(-165.4172 64.6117)
Rocky Creek Mine|mine|SRID=4267;POINT(-159.869 61.059)
Rocky Mountain Creek Mine|mine|SRID=4267;POINT(-165.2037 64.7702)
Ronan Mine|mine|SRID=4267;POINT(-130.048 56.003)
Ronan and James Mine|mine|SRID=4267;POINT(-149.5719 60.6173)
Champion Mine|mine|SRID=4267;POINT(-149.5719 60.6173)
Gladiator Mine|mine|SRID=4267;POINT(-149.5719 60.6173)
Alder Creek Mine|mine|SRID=4267;POINT(-142.3291 64.9786)
Alder Creek Mine|mine|SRID=4267;POINT(-162.201 66.056)
Alder Creek Mine|mine|SRID=4267;POINT(-147.207 65.076)
Alder Creek Mine|mine|SRID=4267;POINT(-166.18 65.063)
Alder Creek Mine|mine|SRID=4267;POINT(-143.7 65.25)
Alder Gulch Mine|mine|SRID=4267;POINT(-155.71 62.696)
Vinasale Mine|mine|SRID=4267;POINT(-155.71 62.696)
Alfred Creek Mine|mine|SRID=4267;POINT(-147.48 61.95)
Alaska Gold Mining. Co. Mine|mine|SRID=4267;POINT(-147.48 61.95)
Caribou Creek Mine|mine|SRID=4267;POINT(-147.48 61.95)
Alice Mine|mine|SRID=4267;POINT(-146.6085 61.1359)
Alice Gulch Mine|mine|SRID=4267;POINT(-143.16 65.29)
Alice and Bessie Mine|mine|SRID=4267;POINT(-157.34056 61.79336)
Parks Mine|mine|SRID=4267;POINT(-157.34056 61.79336)
Allene Creek Mine|mine|SRID=4267;POINT(-166.049 65.354)
Alpha Mine|mine|SRID=4267;POINT(-151.0107 63.5229)
Alpha Creek Mine|mine|SRID=4267;POINT(-165.4937 64.6263)
American Creek Mine|mine|SRID=4267;POINT(-153.66743 64.14168)
American Creek Mine|mine|SRID=4267;POINT(-164.403 64.961)
American Creek (includes California Gulch and Colorado Gulch) Mine|mine|SRID=4267;POINT(-151.17323 65.10077)
American Creek Mine|mine|SRID=4267;POINT(-152.94619 65.27797)
American Creek Mine|mine|SRID=4267;POINT(-155.6491 58.9393)
Discovery Mine|mine|SRID=4267;POINT(-155.6491 58.9393)
Alex Grant Mine|mine|SRID=4267;POINT(-155.6491 58.9393)
American Creek Mine|mine|SRID=4267;POINT(-164.455 64.931)
Game Creek Mine|mine|SRID=4267;POINT(-164.455 64.931)
American Creek Mine|mine|SRID=4267;POINT(-141.3246 64.6794)
Teddys Fork Mine|mine|SRID=4267;POINT(-141.3246 64.6794)
Discovery Fork Mine|mine|SRID=4267;POINT(-141.3246 64.6794)
Alder Gulch Mine|mine|SRID=4267;POINT(-141.3246 64.6794)
American Mine|mine|SRID=4267;POINT(-147.324 64.981)
Perrault Mine|mine|SRID=4267;POINT(-147.324 64.981)
Perrault and Murphy Mine|mine|SRID=4267;POINT(-147.324 64.981)
Amok Gold Mine|mine|SRID=4267;POINT(-153.813 57.457)
Amy Creek Mine|mine|SRID=4267;POINT(-148.438 65.543)
Anchor Point Mine|mine|SRID=4267;POINT(-151.864 59.768)
Anikovik River Beach Mine|mine|SRID=4267;POINT(-167.669 65.491)
Anvil Creek Mine|mine|SRID=4267;POINT(-156.5025 63.1278)
Anvil Creek Mine|mine|SRID=4267;POINT(-165.4154 64.5637)
Apex-El Nido Mine|mine|SRID=4267;POINT(-136.2936 57.949)
April Mine|mine|SRID=4267;POINT(-134.4054 58.3075)
Archibald Creek Mine|mine|SRID=4267;POINT(-150.2081 67.4823)
Archibald Gulch Mine|mine|SRID=4267;POINT(-150.2081 67.4823)
Arctic Creek Mine|mine|SRID=4267;POINT(-164.78 65.627)
Arctic Creek (lower) Mine|mine|SRID=4267;POINT(-165.7957 64.6095)
Arctic Creek (upper) Mine|mine|SRID=4267;POINT(-165.7423 64.6335)
Arizona Creek Mine|mine|SRID=4267;POINT(-164.786 65.611)
Arkansas Creek Mine|mine|SRID=4267;POINT(-141.0891 64.107)
Camp Creek Mine|mine|SRID=4267;POINT(-141.0891 64.107)
Ascension Mine|mine|SRID=4267;POINT(-134.3147 58.2852)
Ibex Mine|mine|SRID=4267;POINT(-134.3147 58.2852)
Atwater Creek Mine|mine|SRID=4267;POINT(-141.7901 64.0491)
Auburn Creek (Ravine) Mine|mine|SRID=4267;POINT(-164.526 64.919)
Augustine Island Mine|mine|SRID=4267;POINT(-153.4469 59.3418)
Alaska Katmalite Corp. Mine|mine|SRID=4267;POINT(-153.4469 59.3418)
Aurora Borealis Mine|mine|SRID=4267;POINT(-134.8632 58.5929)
Morningstar Mine|mine|SRID=4267;POINT(-134.8632 58.5929)
B.C. Mine|mine|SRID=4267;POINT(-141.03 63.07)
Baby Creek Mine|mine|SRID=4267;POINT(-141.1716 64.1402)
Bachelor Creek Mine|mine|SRID=4267;POINT(-146.059 65.491)
Bahrenberg Mine|mine|SRID=4267;POINT(-149.098 61.053)
Treasure Box Mine|mine|SRID=4267;POINT(-149.098 61.053)
Hottentot Mine|mine|SRID=4267;POINT(-149.098 61.053)
Baker Creek Mine|mine|SRID=4267;POINT(-153.05198 64.24868)
Balm Of Gilead Gulch Mine|mine|SRID=4267;POINT(-163.699 65.018)
Balto Creek (Marcus) Mine|mine|SRID=4267;POINT(-165.4534 64.636)
Hunch Mine|mine|SRID=4267;POINT(-165.4534 64.636)
Agnes Association Mine|mine|SRID=4267;POINT(-165.4534 64.636)
Bangor Creek Mine|mine|SRID=4267;POINT(-165.4658 64.6898)
Banjo (Hardrock and Tugboat Annie claims) Mine|mine|SRID=4267;POINT(-150.8904 63.5523)
Banner Creek Mine|mine|SRID=4267;POINT(-164.317 64.823)
Banner Creek Mine|mine|SRID=4267;POINT(-165.3169 64.6483)
Banner Creek Mine|mine|SRID=4267;POINT(-146.346 64.316)
Barker and McQueen Mine|mine|SRID=4267;POINT(-148.071 64.87)
Barney Creek Mine|mine|SRID=4267;POINT(-164.699 64.931)
Barney Creek Mine|mine|SRID=4267;POINT(-141.9594 64.9839)
Barry Arm Mine|mine|SRID=4267;POINT(-148.15 61.1)
Barry Arm antimony Mine|mine|SRID=4267;POINT(-148.15 61.1)
Bartels Mine|mine|SRID=4267;POINT(-167.959 65.587)
Cape Mountain Mine|mine|SRID=4267;POINT(-167.959 65.587)
Canoe Mine|mine|SRID=4267;POINT(-167.959 65.587)
Percy Lode Mine|mine|SRID=4267;POINT(-167.959 65.587)
Basin Creek Mine|mine|SRID=4267;POINT(-155.6133 64.40318)
Basin Creek Mine|mine|SRID=4267;POINT(-165.2838 64.6821)
Baumann and Strickler Mine|mine|SRID=4267;POINT(-153.19 57.84)
Baumeister Bench Mine|mine|SRID=4267;POINT(-156.51016 62.97241)
Bay View Mine|mine|SRID=4267;POINT(-131.729 55.187)
Bear Mine|mine|SRID=4267;POINT(-135.0804 58.8612)
Bear Creek Mine|mine|SRID=4267;POINT(-149.5878 60.9135)
Bear Creek Mine|mine|SRID=4267;POINT(-161.08 65.55)
Bear Creek Mine|mine|SRID=4267;POINT(-160.28 67.16)
Bear Creek Mine|mine|SRID=4267;POINT(-156.1318 63.5699)
Bear Creek Mine|mine|SRID=4267;POINT(-159.7887 61.0513)
Bear Creek (lower) Mine|mine|SRID=4267;POINT(-161.13 59.41)
Bear Creek (upper) Mine|mine|SRID=4267;POINT(-161.14 59.4)
Bear Gulch Mine|mine|SRID=4267;POINT(-161.33 65.35)
Bear Gulch Mine|mine|SRID=4267;POINT(-164.349 64.679)
Bear Gulch Mine|mine|SRID=4267;POINT(-155.49143 64.40802)
Bear Pup Mine|mine|SRID=4267;POINT(-155.49143 64.40802)
Bear Mine|mine|SRID=4267;POINT(-153.93 57.51)
Uyak Bay Mine|mine|SRID=4267;POINT(-153.93 57.51)
Beatson-Bonanza Mine|mine|SRID=4267;POINT(-147.8995 60.0493)
Latouche Mine|mine|SRID=4267;POINT(-147.8995 60.0493)
Beaver Creek Mine|mine|SRID=4267;POINT(-164.81 64.64)
Beaver Creek Mine|mine|SRID=4267;POINT(-156.1368 63.5585)
Beaver Creek Mine|mine|SRID=4267;POINT(-146.394 64.764)
Beaver Creek (tributary of Poorman Creek) Mine|mine|SRID=4267;POINT(-155.72703 64.08167)
Bedrock Creek Mine|mine|SRID=4267;POINT(-147.438 65.066)
Bedrock Creek Mine|mine|SRID=4267;POINT(-144.6359 63.1379)
Bedrock Creek Mine|mine|SRID=4267;POINT(-147.438 65.066)
Bedrock Gulch Mine|mine|SRID=4267;POINT(-156.618 63.0453)
Ben Creek Mine|mine|SRID=4267;POINT(-143.02 65.28)
Ben Creek Mine|mine|SRID=4267;POINT(-142.7217 64.6799)
Benson Creek Mine|mine|SRID=4267;POINT(-164.683 64.912)
Bering Creek Mine|mine|SRID=4267;POINT(-166.389 65.088)
Bertha Creek Mine|mine|SRID=4267;POINT(-149.242 60.7514)
Bettles Bar Mine|mine|SRID=4267;POINT(-151.6704 66.9101)
Bettles Riffle Mine|mine|SRID=4267;POINT(-151.6704 66.9101)
Bettles River Canyon Mine|mine|SRID=4267;POINT(-149.42 67.56)
Big Creek Mine|mine|SRID=4267;POINT(-155.46221 64.66257)
Big Creek Mine|mine|SRID=4267;POINT(-148.2076 67.5201)
Big Eldorado Creek Mine|mine|SRID=4267;POINT(-141.9495 62.1096)
Big Eldorado Creek Mine|mine|SRID=4267;POINT(-147.757 64.969)
Big Four Creek Mine|mine|SRID=4267;POINT(-164.173 64.903)
Big Four Creek Mine|mine|SRID=4267;POINT(-144.8212 63.1854)
Big Harbor Mine|mine|SRID=4267;POINT(-132.96391 55.37449)
Big Hurrah Creek Mine|mine|SRID=4267;POINT(-164.247 64.653)
Big Jim Creek Mine|mine|SRID=4267;POINT(-149.05 67.53)
Suklak Creek Mine|mine|SRID=4267;POINT(-149.05 67.53)
Billy Sunday Mine|mine|SRID=4267;POINT(-147.997 64.867)
Leah Fraction Mine|mine|SRID=4267;POINT(-147.997 64.867)
Smith and McGlone Mine|mine|SRID=4267;POINT(-147.997 64.867)
Smith and McGonnigle Mine|mine|SRID=4267;POINT(-147.997 64.867)
Smith Bros. Mine|mine|SRID=4267;POINT(-147.997 64.867)
Birch Creek Mine|mine|SRID=4267;POINT(-164.129 64.831)
Birch Creek Mine|mine|SRID=4267;POINT(-155.35305 64.45805)
Birch Creek Mine|mine|SRID=4267;POINT(-151.3413 67.4445)
Birch Gulch (Creek) Mine|mine|SRID=4267;POINT(-154.763 63.212)
Groshong's Mine|mine|SRID=4267;POINT(-154.763 63.212)
Bird Creek Mine|mine|SRID=4267;POINT(-150.905 62.57)
St. Louis Channel Mine|mine|SRID=4267;POINT(-150.905 62.57)
Bird Point Mine|mine|SRID=4267;POINT(-149.3596 60.9284)
Conway Mine|mine|SRID=4267;POINT(-149.3596 60.9284)
Centennial Mine|mine|SRID=4267;POINT(-149.3596 60.9284)
Black Creek Mine|mine|SRID=4267;POINT(-157.93721 62.4379)
Black Gulch Mine|mine|SRID=4267;POINT(-164.202 65.522)
Ladysmith Mine|mine|SRID=4267;POINT(-147.8932 60.0536)
Barrack Mine|mine|SRID=4267;POINT(-147.8932 60.0536)
Blacksand Island Beach Mine|mine|SRID=4267;POINT(-139.5 59.417)
Blue Bonanza Mine|mine|SRID=4267;POINT(-148.06 64.891)
Midnight Sun Mine|mine|SRID=4267;POINT(-148.06 64.891)
Blue Lead Mine|mine|SRID=4267;POINT(-144.194 64.356)
Blue Lead Extension Mine|mine|SRID=4267;POINT(-144.194 64.356)
Pioneer Mine|mine|SRID=4267;POINT(-147.408 65.067)
Blue Bell Mine|mine|SRID=4267;POINT(-147.408 65.067)
Bluestone River Mine|mine|SRID=4267;POINT(-166.192 65.113)
Bluff Mine|mine|SRID=4267;POINT(-163.756 64.571)
Bluff Mine|mine|SRID=4267;POINT(-163.749 64.571)
Bobs Creek Mine|mine|SRID=4267;POINT(-164.721 64.918)
Babs Creek Mine|mine|SRID=4267;POINT(-164.721 64.918)
Bobtail Creek Mine|mine|SRID=4267;POINT(-161.419 61.911)
Boer Creek Mine|mine|SRID=4267;POINT(-165.2988 64.8644)
Bonanza Creek Mine|mine|SRID=4267;POINT(-159.7587 61.0704)
Bonanza Creek Mine|mine|SRID=4267;POINT(-160.7396 64.5448)
Bonanza Creek Mine|mine|SRID=4267;POINT(-165.0163 64.8806)
Bonanza Creek Mine|mine|SRID=4267;POINT(-145.329 65.549)
Bonanza Creek Mine|mine|SRID=4267;POINT(-154.695 60.717)
Bonanza Creek Mine|mine|SRID=4267;POINT(-141.8286 62.1024)
Little Eldorado Creek Mine|mine|SRID=4267;POINT(-141.8286 62.1024)
Skookum Creek Mine|mine|SRID=4267;POINT(-141.8286 62.1024)
Coarse Money Creek Mine|mine|SRID=4267;POINT(-141.8286 62.1024)
Snow Gulch Mine|mine|SRID=4267;POINT(-141.8286 62.1024)
Bondholder Mine|mine|SRID=4267;POINT(-148.003 64.876)
Bonnell (Neversweat) Mine|mine|SRID=4267;POINT(-151.0158 63.5026)
Bonnifield Creek Mine|mine|SRID=4267;POINT(-147.936 64.064)
Boob Creek Mine|mine|SRID=4267;POINT(-157.0029 63.3312)
Bosart Mine|mine|SRID=4267;POINT(-150.898 63.5671)
Bottom Dollar Creek Mine|mine|SRID=4267;POINT(-144.811 65.401)
Nugget Gulch Mine|mine|SRID=4267;POINT(-144.811 65.401)
Greenhorn Creek Mine|mine|SRID=4267;POINT(-144.811 65.401)
Boulder Creek Mine|mine|SRID=4267;POINT(-143.017 65.281)
Boulder Creek Mine|mine|SRID=4267;POINT(-164.396 64.862)
Boulder Creek Mine|mine|SRID=4267;POINT(-161.71 58.94)
Boulder Creek Mine|mine|SRID=4267;POINT(-145.07 65.47)
Boulder Creek Mine|mine|SRID=4267;POINT(-143.9941 62.7757)
Boulder Creek Mine|mine|SRID=4267;POINT(-145.3496 61.3332)
Boulder Creek Mine|mine|SRID=4267;POINT(-161.036 66.075)
Boulder Creek Mine|mine|SRID=4267;POINT(-150.87999 65.15462)
Boulder Creek Mine|mine|SRID=4267;POINT(-133.74211 57.83354)
Boulder Creek Mine|mine|SRID=4267;POINT(-164.323 65.539)
Boulder Creek Mine|mine|SRID=4267;POINT(-166.0003 64.6952)
Boulder Creek Mine|mine|SRID=4267;POINT(-165.5073 64.6473)
Boulder Creek Mine|mine|SRID=4267;POINT(-144.01 62.78)
Boundary Creek Mine|mine|SRID=4267;POINT(-141.1628 64.6801)
Bourbon Creek Mine|mine|SRID=4267;POINT(-151.1609 67.2794)
Bourbon Creek Mine|mine|SRID=4267;POINT(-165.3772 64.5262)
Holyoke Creek Mine|mine|SRID=4267;POINT(-165.3772 64.5262)
Bowser Creek-Main Mine|mine|SRID=4267;POINT(-153.7 62.18)
Breen West (Bison) Mine|mine|SRID=4267;POINT(-165.3336 64.7577)
Brewster Mine|mine|SRID=4267;POINT(-149.2452 60.6694)
Brewster Quartz Mine|mine|SRID=4267;POINT(-149.2452 60.6694)
Broken Neck Creek Mine|mine|SRID=4267;POINT(-141.7242 64.9313)
Brown and Metzdorf Mine|mine|SRID=4267;POINT(-132.48143 55.5882)
Brumfield Mine|mine|SRID=4267;POINT(-147.43 64.97)
Bryan Creek Mine|mine|SRID=4267;POINT(-141.945 62.0345)
Bryan Creek Mine|mine|SRID=4267;POINT(-165.003 65.826)
Dick Creek Mine|mine|SRID=4267;POINT(-165.003 65.826)
Buck Creek Mine|mine|SRID=4267;POINT(-167.511 65.643)
Left Fork Mine|mine|SRID=4267;POINT(-167.511 65.643)
West Fork Mine|mine|SRID=4267;POINT(-167.511 65.643)
Peluk Creek Mine|mine|SRID=4267;POINT(-167.511 65.643)
Upper Buck Creek Mine|mine|SRID=4267;POINT(-167.511 65.643)
Buckeye Creek Mine|mine|SRID=4267;POINT(-146.303 64.311)
Martha Mine|mine|SRID=4267;POINT(-146.303 64.311)
Moore Creek Mine|mine|SRID=4267;POINT(-146.303 64.311)
Buckeye Gulch Mine|mine|SRID=4267;POINT(-150.1072 67.4992)
Buckeye Creek Mine|mine|SRID=4267;POINT(-150.1072 67.4992)
Buckskin Creek Mine|mine|SRID=4267;POINT(-141.9829 64.196)
Bunker Hill Mine|mine|SRID=4267;POINT(-147.699 64.994)
Burnet Mine|mine|SRID=4267;POINT(-147.467 65.026)
Busch Creek Mine|mine|SRID=4267;POINT(-147.739 62.4761)
Buster Creek Mine|mine|SRID=4267;POINT(-165.2458 64.5923)
Buster Creek Mine|mine|SRID=4267;POINT(-161.447 61.904)
Butte Creek Mine|mine|SRID=4267;POINT(-145.562 65.404)
Butte Creek Mine|mine|SRID=4267;POINT(-148.046 65.68)
Butte Creek Mine|mine|SRID=4267;POINT(-161.47 59.49)
Butte Creek Mine|mine|SRID=4267;POINT(-164.332 64.709)
Butterfield Canyon Mine|mine|SRID=4267;POINT(-165.4826 64.6896)
Cache Creek Mine|mine|SRID=4267;POINT(-150.81568 65.09986)
Cache Creek (Spruce Creek) Mine|mine|SRID=4267;POINT(-164.149 64.591)
Cache Creek Area, including Spruce Creek Mine|mine|SRID=4267;POINT(-150.984 62.49)
Short Creek Mine|mine|SRID=4267;POINT(-150.984 62.49)
Rambler Creek Mine|mine|SRID=4267;POINT(-150.984 62.49)
Lucky Creek Mine|mine|SRID=4267;POINT(-150.984 62.49)
Pineo Bar Mine|mine|SRID=4267;POINT(-150.984 62.49)
Bradley Mine|mine|SRID=4267;POINT(-150.984 62.49)
Cache Creek Dredging Company Mine|mine|SRID=4267;POINT(-150.984 62.49)
Cache Creek Mining Company Mine|mine|SRID=4267;POINT(-150.984 62.49)
Gold Mine|mine|SRID=4267;POINT(-150.984 62.49)
Ltd. Mine|mine|SRID=4267;POINT(-150.984 62.49)
Morgan Mine|mine|SRID=4267;POINT(-150.984 62.49)
Murray Mine|mine|SRID=4267;POINT(-150.984 62.49)
Murray And Harper Mine|mine|SRID=4267;POINT(-150.984 62.49)
Obermiller And Eaglehorn Mine|mine|SRID=4267;POINT(-150.984 62.49)
Peterson Mine|mine|SRID=4267;POINT(-150.984 62.49)
Taraski Mine|mine|SRID=4267;POINT(-150.984 62.49)
Tesmer And Beidermann Mine|mine|SRID=4267;POINT(-150.984 62.49)
Yenta Dredging Co. Mine|mine|SRID=4267;POINT(-150.984 62.49)
California Creek Mine|mine|SRID=4267;POINT(-156.6251 66.9571)
California Creek Mine|mine|SRID=4267;POINT(-159.905 61.058)
California Creek Mine|mine|SRID=4267;POINT(-163.907 64.609)
California Creek Mine|mine|SRID=4267;POINT(-164.809 65.632)
California Creek Mine|mine|SRID=4267;POINT(-153.60895 64.34328)
California Creek Mine|mine|SRID=4267;POINT(-149.18 61.01)
California Creek Mine|mine|SRID=4267;POINT(-148.721 64.05)
California Creek Mine|mine|SRID=4267;POINT(-149.49 67.47)
